Timing,Site,Bag,Shell,Oyster,Height_mm,Length_mm,Dead.Alive
Deployment,Cutts Cove,1,1,1,28,21,
Deployment,Cutts Cove,1,1,2,23,19,
Deployment,Cutts Cove,1,1,3,22,13,
Deployment,Cutts Cove,1,1,4,12,10,
Deployment,Cutts Cove,1,2,1,20,15,
Deployment,Cutts Cove,1,2,2,17,15,
Deployment,Cutts Cove,1,3,1,23,15,
Deployment,Cutts Cove,1,3,2,17,12,
Deployment,Cutts Cove,1,3,3,25,11,
Deployment,Cutts Cove,1,3,4,21,10,
Deployment,Cutts Cove,1,3,5,20,14,
Deployment,Cutts Cove,1,4,1,24,18,
Deployment,Cutts Cove,1,4,2,17,10,
Deployment,Cutts Cove,1,4,3,20,15,
Deployment,Cutts Cove,1,5,1,25,16,
Deployment,Cutts Cove,1,5,2,22,10,
Deployment,Cutts Cove,1,5,3,17,10,
Deployment,Cutts Cove,1,6,1,30,18,
Deployment,Cutts Cove,1,6,2,10,8,
Deployment,Cutts Cove,1,6,3,16,10,
Deployment,Cutts Cove,1,6,4,17,11,
Deployment,Cutts Cove,2,1,1,23,17,
Deployment,Cutts Cove,2,2,1,23,17,
Deployment,Cutts Cove,2,2,2,31,15,
Deployment,Cutts Cove,2,2,3,26,16,
Deployment,Cutts Cove,2,2,4,20,18,
Deployment,Cutts Cove,2,2,5,14,10,
Deployment,Cutts Cove,2,2,6,8,10,
Deployment,Cutts Cove,2,2,7,24,18,
Deployment,Cutts Cove,2,2,8,15,14,
Deployment,Cutts Cove,2,2,9,14,12,
Deployment,Cutts Cove,2,3,1,20,15,
Deployment,Cutts Cove,2,3,2,19,17,
Deployment,Cutts Cove,2,3,3,21,11,
Deployment,Cutts Cove,2,3,4,20,18,
Deployment,Cutts Cove,2,3,5,20,18,
Deployment,Cutts Cove,2,3,6,19,18,
Deployment,Cutts Cove,2,3,7,12,8,
Deployment,Cutts Cove,2,3,8,23,18,
Deployment,Cutts Cove,2,4,1,30,18,
Deployment,Cutts Cove,2,4,2,24,19,
Deployment,Cutts Cove,2,4,3,17,18,
Deployment,Cutts Cove,2,4,4,19,10,
Deployment,Cutts Cove,2,4,5,26,17,
Deployment,Cutts Cove,2,4,6,28,17,
Deployment,Cutts Cove,2,4,7,10,7,
Deployment,Cutts Cove,2,4,8,21,16,
Deployment,Cutts Cove,2,4,9,24,16,
Deployment,Cutts Cove,2,4,10,20,11,
Deployment,Cutts Cove,2,5,1,27,20,
Deployment,Cutts Cove,2,6,2,21,11,
Deployment,Cutts Cove,2,6,3,20,11,
Deployment,Cutts Cove,3,1,1,17,14,
Deployment,Cutts Cove,3,1,2,26,15,
Deployment,Cutts Cove,3,1,3,15,16,
Deployment,Cutts Cove,3,1,4,12,10,
Deployment,Cutts Cove,3,1,5,13,15,
Deployment,Cutts Cove,3,1,6,23,17,
Deployment,Cutts Cove,3,2,1,18,17,
Deployment,Cutts Cove,3,3,1,19,18,
Deployment,Cutts Cove,3,3,2,20,15,
Deployment,Cutts Cove,3,3,3,24,13,
Deployment,Cutts Cove,3,3,4,12,16,
Deployment,Cutts Cove,3,3,5,16,14,
Deployment,Cutts Cove,3,3,6,16,15,
Deployment,Cutts Cove,3,3,7,13,12,
Deployment,Cutts Cove,3,4,1,26,14,
Deployment,Cutts Cove,3,4,2,20,14,
Deployment,Cutts Cove,3,4,3,22,12,
Deployment,Cutts Cove,3,4,4,20,13,
Deployment,Cutts Cove,3,4,5,21,11,
Deployment,Cutts Cove,3,4,6,21,17,
Deployment,Cutts Cove,3,4,7,23,12,
Deployment,Cutts Cove,3,5,1,23,15,
Deployment,Cutts Cove,3,5,2,20,11,
Deployment,Cutts Cove,3,5,3,26,13,
Deployment,Cutts Cove,3,5,4,19,11,
Deployment,Cutts Cove,3,5,5,20,18,
Deployment,Cutts Cove,3,5,6,20,18,
Deployment,Cutts Cove,3,5,7,30,8,
Deployment,Cutts Cove,3,6,1,21,16,
Deployment,Cutts Cove,4,1,1,19,14,
Deployment,Cutts Cove,4,1,2,28,20,
Deployment,Cutts Cove,4,1,3,26,19,
Deployment,Cutts Cove,4,2,1,26,15,
Deployment,Cutts Cove,4,2,2,25,14,
Deployment,Cutts Cove,4,2,3,11,8,
Deployment,Cutts Cove,4,3,1,13,11,
Deployment,Cutts Cove,4,4,1,16,14,
Deployment,Cutts Cove,4,4,2,8,10,
Deployment,Cutts Cove,4,5,1,11,17,
Deployment,Cutts Cove,4,5,2,23,18,
Deployment,Cutts Cove,4,5,3,22,11,
Deployment,Cutts Cove,4,5,4,19,17,
Deployment,Cutts Cove,4,5,5,16,14,
Deployment,Cutts Cove,4,6,1,16,13,
Deployment,Cutts Cove,5,1,1,31,28,
Deployment,Cutts Cove,5,1,2,17,14,
Deployment,Cutts Cove,5,1,3,16,16,
Deployment,Cutts Cove,5,2,1,10,10,
Deployment,Cutts Cove,5,2,2,20,12,
Deployment,Cutts Cove,5,2,3,16,15,
Deployment,Cutts Cove,5,3,1,20,15,
Deployment,Cutts Cove,5,3,2,16,10,
Deployment,Cutts Cove,5,4,1,17,14,
Deployment,Cutts Cove,5,4,2,21,18,
Deployment,Cutts Cove,5,4,3,17,17,
Deployment,Cutts Cove,5,5,1,18,11,
Deployment,Cutts Cove,5,5,2,12,11,
Deployment,Cutts Cove,5,5,3,22,12,
Deployment,Cutts Cove,5,5,4,19,14,
Deployment,Cutts Cove,5,5,5,23,18,
Deployment,Cutts Cove,5,6,1,12,10,
Deployment,Cutts Cove,6,1,1,14,14,
Deployment,Cutts Cove,6,1,2,12,8,
Deployment,Cutts Cove,6,1,3,18,10,
Deployment,Cutts Cove,6,2,1,28,21,
Deployment,Cutts Cove,6,2,2,20,15,
Deployment,Cutts Cove,6,2,3,14,10,
Deployment,Cutts Cove,6,3,1,19,18,
Deployment,Cutts Cove,6,3,2,26,21,
Deployment,Cutts Cove,6,4,1,18,11,
Deployment,Cutts Cove,6,4,2,16,15,
Deployment,Cutts Cove,6,4,3,20,10,
Deployment,Cutts Cove,6,5,1,21,18,
Deployment,Cutts Cove,6,5,2,32,18,
Deployment,Cutts Cove,6,5,3,20,16,
Deployment,Cutts Cove,6,5,4,15,10,
Deployment,Cutts Cove,6,5,5,16,10,
Deployment,Cutts Cove,6,5,6,27,25,
Deployment,Cutts Cove,6,5,7,12,6,
Deployment,Cutts Cove,6,6,1,18,16,
Deployment,Cutts Cove,6,6,2,21,16,
Deployment,Cutts Cove,6,6,3,16,16,
Deployment,Cutts Cove,6,6,4,12,6,
Deployment,Cutts Cove,6,6,5,20,16,
Deployment,Cutts Cove,7,1,1,20,13,
Deployment,Cutts Cove,7,2,1,13,16,
Deployment,Cutts Cove,7,2,2,25,17,
Deployment,Cutts Cove,7,3,1,16,17,
Deployment,Cutts Cove,7,3,2,17,16,
Deployment,Cutts Cove,7,3,3,20,12,
Deployment,Cutts Cove,7,3,4,16,14,
Deployment,Cutts Cove,7,3,5,20,17,
Deployment,Cutts Cove,7,4,1,22,16,
Deployment,Cutts Cove,7,4,2,24,17,
Deployment,Cutts Cove,7,4,3,22,10,
Deployment,Cutts Cove,7,4,4,23,11,
Deployment,Cutts Cove,7,4,5,29,13,
Deployment,Cutts Cove,7,4,6,33,20,
Deployment,Cutts Cove,7,4,7,25,20,
Deployment,Cutts Cove,7,5,1,26,16,
Deployment,Cutts Cove,7,5,2,23,12,
Deployment,Cutts Cove,7,5,3,24,15,
Deployment,Cutts Cove,7,5,4,12,15,
Deployment,Cutts Cove,7,5,5,21,20,
Deployment,Cutts Cove,7,6,1,10,6,
Deployment,Cutts Cove,7,6,2,20,15,
Deployment,Cutts Cove,7,6,3,28,11,
Deployment,Cutts Cove,7,6,4,25,14,
Deployment,Cutts Cove,8,1,1,30,22,
Deployment,Cutts Cove,8,1,2,15,13,
Deployment,Cutts Cove,8,1,3,20,10,
Deployment,Cutts Cove,8,1,4,25,14,
Deployment,Cutts Cove,8,1,5,11,10,
Deployment,Cutts Cove,8,1,6,35,14,
Deployment,Cutts Cove,8,1,7,25,10,
Deployment,Cutts Cove,8,2,1,20,13,
Deployment,Cutts Cove,8,2,2,21,11,
Deployment,Cutts Cove,8,2,3,25,20,
Deployment,Cutts Cove,8,2,4,25,10,
Deployment,Cutts Cove,8,2,5,26,16,
Deployment,Cutts Cove,8,2,6,15,10,
Deployment,Cutts Cove,8,2,7,26,18,
Deployment,Cutts Cove,8,2,8,20,13,
Deployment,Cutts Cove,8,2,9,16,10,
Deployment,Cutts Cove,8,2,10,27,15,
Deployment,Cutts Cove,8,3,1,25,16,
Deployment,Cutts Cove,8,3,2,18,10,
Deployment,Cutts Cove,8,3,3,16,10,
Deployment,Cutts Cove,8,3,4,10,6,
Deployment,Cutts Cove,8,3,5,28,16,
Deployment,Cutts Cove,8,4,1,22,18,
Deployment,Cutts Cove,8,4,2,15,14,
Deployment,Cutts Cove,8,4,3,28,20,
Deployment,Cutts Cove,8,4,4,29,15,
Deployment,Cutts Cove,8,4,5,25,20,
Deployment,Cutts Cove,8,5,1,27,20,
Deployment,Cutts Cove,8,5,2,21,20,
Deployment,Cutts Cove,8,6,1,26,24,
Deployment,Cutts Cove,8,6,2,20,15,
Deployment,Cutts Cove,9,1,1,20,11,
Deployment,Cutts Cove,9,1,2,8,7,
Deployment,Cutts Cove,9,2,1,20,15,
Deployment,Cutts Cove,9,2,2,18,16,
Deployment,Cutts Cove,9,2,3,20,17,
Deployment,Cutts Cove,9,2,4,20,18,
Deployment,Cutts Cove,9,2,5,20,15,
Deployment,Cutts Cove,9,2,6,10,11,
Deployment,Cutts Cove,9,3,1,16,10,
Deployment,Cutts Cove,9,3,2,23,15,
Deployment,Cutts Cove,9,3,3,10,7,
Deployment,Cutts Cove,9,3,4,5,4,
Deployment,Cutts Cove,9,3,5,8,6,
Deployment,Cutts Cove,9,3,6,17,16,
Deployment,Cutts Cove,9,3,7,20,16,
Deployment,Cutts Cove,9,3,8,7,6,
Deployment,Cutts Cove,9,4,1,20,20,
Deployment,Cutts Cove,9,4,2,20,15,
Deployment,Cutts Cove,9,4,3,10,7,
Deployment,Cutts Cove,9,4,4,20,16,
Deployment,Cutts Cove,9,4,5,21,17,
Deployment,Cutts Cove,9,4,6,25,18,
Deployment,Cutts Cove,9,4,7,19,18,
Deployment,Cutts Cove,9,4,8,16,15,
Deployment,Cutts Cove,9,4,9,18,16,
Deployment,Cutts Cove,9,4,10,16,14,
Deployment,Cutts Cove,9,4,11,15,7,
Deployment,Cutts Cove,9,4,12,20,16,
Deployment,Cutts Cove,9,5,1,25,20,
Deployment,Cutts Cove,9,5,2,11,10,
Deployment,Cutts Cove,9,6,1,23,15,
Deployment,Cutts Cove,9,6,2,19,12,
Deployment,Cutts Cove,9,6,3,10,6,
Deployment,Cutts Cove,10,1,1,18,10,
Deployment,Cutts Cove,10,1,2,16,10,
Deployment,Cutts Cove,10,1,3,15,10,
Deployment,Cutts Cove,10,2,1,20,11,
Deployment,Cutts Cove,10,2,2,28,20,
Deployment,Cutts Cove,10,2,3,10,8,
Deployment,Cutts Cove,10,3,1,26,11,
Deployment,Cutts Cove,10,3,2,15,11,
Deployment,Cutts Cove,10,4,1,15,11,
Deployment,Cutts Cove,10,4,2,18,10,
Deployment,Cutts Cove,10,4,3,30,21,
Deployment,Cutts Cove,10,4,4,20,13,
Deployment,Cutts Cove,10,5,1,7,5,
Deployment,Cutts Cove,10,5,2,15,10,
Deployment,Cutts Cove,10,5,3,26,15,
Deployment,Cutts Cove,10,5,4,16,13,
Deployment,Cutts Cove,10,6,1,28,17,
Deployment,Cutts Cove,10,6,2,38,20,
Deployment,Cutts Cove,10,6,3,10,8,
Deployment,Wagon Hill Farm,11,1,1,16,14,
Deployment,Wagon Hill Farm,11,1,2,15,5,
Deployment,Wagon Hill Farm,11,1,3,7,5,
Deployment,Wagon Hill Farm,11,1,4,20,16,
Deployment,Wagon Hill Farm,11,1,5,21,15,
Deployment,Wagon Hill Farm,11,2,1,20,15,
Deployment,Wagon Hill Farm,11,2,2,18,10,
Deployment,Wagon Hill Farm,11,2,3,10,5,
Deployment,Wagon Hill Farm,11,2,4,10,13,
Deployment,Wagon Hill Farm,11,3,1,20,15,
Deployment,Wagon Hill Farm,11,3,2,21,16,
Deployment,Wagon Hill Farm,11,3,3,20,10,
Deployment,Wagon Hill Farm,11,3,4,18,11,
Deployment,Wagon Hill Farm,11,3,5,17,15,
Deployment,Wagon Hill Farm,11,3,6,20,11,
Deployment,Wagon Hill Farm,11,4,1,32,21,
Deployment,Wagon Hill Farm,11,4,2,25,10,
Deployment,Wagon Hill Farm,11,4,3,10,7,
Deployment,Wagon Hill Farm,11,5,1,15,12,
Deployment,Wagon Hill Farm,11,5,2,22,17,
Deployment,Wagon Hill Farm,11,5,3,18,16,
Deployment,Wagon Hill Farm,11,5,4,20,17,
Deployment,Wagon Hill Farm,11,5,5,27,20,
Deployment,Wagon Hill Farm,11,5,6,10,6,
Deployment,Wagon Hill Farm,11,5,7,32,20,
Deployment,Wagon Hill Farm,11,6,1,20,15,
Deployment,Wagon Hill Farm,11,6,2,21,16,
Deployment,Wagon Hill Farm,11,6,3,20,15,
Deployment,Wagon Hill Farm,11,6,4,17,14,
Deployment,Wagon Hill Farm,11,6,5,18,15,
Deployment,Wagon Hill Farm,11,6,6,20,13,
Deployment,Wagon Hill Farm,11,6,7,27,20,
Deployment,Wagon Hill Farm,11,6,8,30,16,
Deployment,Wagon Hill Farm,11,6,9,20,18,
Deployment,Wagon Hill Farm,11,6,10,23,19,
Deployment,Wagon Hill Farm,11,6,11,30,15,
Deployment,Wagon Hill Farm,12,1,1,20,13,
Deployment,Wagon Hill Farm,12,1,2,14,10,
Deployment,Wagon Hill Farm,12,1,3,13,12,
Deployment,Wagon Hill Farm,12,2,1,20,10,
Deployment,Wagon Hill Farm,12,2,2,26,17,
Deployment,Wagon Hill Farm,12,2,3,21,16,
Deployment,Wagon Hill Farm,12,3,1,23,23,
Deployment,Wagon Hill Farm,12,3,2,24,27,
Deployment,Wagon Hill Farm,12,4,1,25,15,
Deployment,Wagon Hill Farm,12,4,2,18,17,
Deployment,Wagon Hill Farm,12,4,3,17,16,
Deployment,Wagon Hill Farm,12,5,1,16,16,
Deployment,Wagon Hill Farm,12,5,2,17,20,
Deployment,Wagon Hill Farm,12,6,1,28,20,
Deployment,Wagon Hill Farm,12,6,2,31,22,
Deployment,Wagon Hill Farm,12,6,3,30,20,
Deployment,Wagon Hill Farm,12,6,4,18,10,
Deployment,Wagon Hill Farm,12,6,5,15,10,
Deployment,Wagon Hill Farm,13,1,1,31,20,
Deployment,Wagon Hill Farm,13,1,2,22,20,
Deployment,Wagon Hill Farm,13,1,3,31,15,
Deployment,Wagon Hill Farm,13,1,4,7,5,
Deployment,Wagon Hill Farm,13,1,5,15,12,
Deployment,Wagon Hill Farm,13,1,6,14,10,
Deployment,Wagon Hill Farm,13,1,7,15,12,
Deployment,Wagon Hill Farm,13,1,8,16,15,
Deployment,Wagon Hill Farm,13,1,9,13,12,
Deployment,Wagon Hill Farm,13,2,1,20,18,
Deployment,Wagon Hill Farm,13,2,2,14,10,
Deployment,Wagon Hill Farm,13,2,3,10,8,
Deployment,Wagon Hill Farm,13,3,1,25,19,
Deployment,Wagon Hill Farm,13,3,2,24,20,
Deployment,Wagon Hill Farm,13,3,3,26,23,
Deployment,Wagon Hill Farm,13,3,4,20,15,
Deployment,Wagon Hill Farm,13,3,5,30,17,
Deployment,Wagon Hill Farm,13,4,1,25,16,
Deployment,Wagon Hill Farm,13,4,2,17,14,
Deployment,Wagon Hill Farm,13,4,3,16,13,
Deployment,Wagon Hill Farm,13,5,1,16,10,
Deployment,Wagon Hill Farm,13,5,2,20,12,
Deployment,Wagon Hill Farm,13,5,3,21,14,
Deployment,Wagon Hill Farm,13,6,1,26,15,
Deployment,Wagon Hill Farm,13,6,2,20,13,
Deployment,Wagon Hill Farm,13,6,3,8,7,
Deployment,Wagon Hill Farm,14,1,1,16,10,
Deployment,Wagon Hill Farm,14,1,2,14,10,
Deployment,Wagon Hill Farm,14,1,3,16,10,
Deployment,Wagon Hill Farm,14,1,4,21,20,
Deployment,Wagon Hill Farm,14,1,5,29,28,
Deployment,Wagon Hill Farm,14,1,6,18,10,
Deployment,Wagon Hill Farm,14,1,7,15,8,
Deployment,Wagon Hill Farm,14,1,8,10,7,
Deployment,Wagon Hill Farm,14,2,1,16,14,
Deployment,Wagon Hill Farm,14,2,2,17,13,
Deployment,Wagon Hill Farm,14,3,1,10,11,
Deployment,Wagon Hill Farm,14,4,1,23,16,
Deployment,Wagon Hill Farm,14,5,1,26,20,
Deployment,Wagon Hill Farm,14,5,2,18,16,
Deployment,Wagon Hill Farm,14,5,3,15,12,
Deployment,Wagon Hill Farm,14,5,4,10,12,
Deployment,Wagon Hill Farm,14,5,5,1,10,
Deployment,Wagon Hill Farm,14,6,1,21,10,
Deployment,Wagon Hill Farm,14,6,2,20,16,
Deployment,Wagon Hill Farm,14,6,3,10,9,
Deployment,Wagon Hill Farm,14,6,4,20,16,
Deployment,Wagon Hill Farm,15,1,1,21,11,
Deployment,Wagon Hill Farm,15,1,2,27,21,
Deployment,Wagon Hill Farm,15,1,3,20,15,
Deployment,Wagon Hill Farm,15,1,4,22,15,
Deployment,Wagon Hill Farm,15,1,5,18,15,
Deployment,Wagon Hill Farm,15,1,6,25,17,
Deployment,Wagon Hill Farm,15,2,1,26,14,
Deployment,Wagon Hill Farm,15,2,2,10,8,
Deployment,Wagon Hill Farm,15,2,3,19,18,
Deployment,Wagon Hill Farm,15,2,4,25,14,
Deployment,Wagon Hill Farm,15,3,1,26,13,
Deployment,Wagon Hill Farm,15,3,2,26,12,
Deployment,Wagon Hill Farm,15,3,3,27,24,
Deployment,Wagon Hill Farm,15,3,4,25,24,
Deployment,Wagon Hill Farm,15,3,5,30,27,
Deployment,Wagon Hill Farm,15,3,6,19,17,
Deployment,Wagon Hill Farm,15,3,7,20,18,
Deployment,Wagon Hill Farm,15,4,1,25,18,
Deployment,Wagon Hill Farm,15,4,2,25,17,
Deployment,Wagon Hill Farm,15,4,3,8,13,
Deployment,Wagon Hill Farm,15,4,4,15,10,
Deployment,Wagon Hill Farm,15,5,1,25,18,
Deployment,Wagon Hill Farm,15,5,2,16,15,
Deployment,Wagon Hill Farm,15,6,1,20,18,
Deployment,Wagon Hill Farm,15,6,2,30,12,
Deployment,Wagon Hill Farm,15,6,3,21,11,
Deployment,Wagon Hill Farm,15,6,4,20,17,
Deployment,Wagon Hill Farm,15,6,5,19,16,
Deployment,Wagon Hill Farm,15,6,6,10,12,
Deployment,Wagon Hill Farm,15,6,7,8,7,
Deployment,Wagon Hill Farm,15,6,8,20,18,
Deployment,Wagon Hill Farm,16,1,1,19,16,
Deployment,Wagon Hill Farm,16,1,2,20,16,
Deployment,Wagon Hill Farm,16,1,3,19,12,
Deployment,Wagon Hill Farm,16,1,4,22,17,
Deployment,Wagon Hill Farm,16,1,5,20,22,
Deployment,Wagon Hill Farm,16,2,1,26,24,
Deployment,Wagon Hill Farm,16,2,2,19,13,
Deployment,Wagon Hill Farm,16,2,3,17,15,
Deployment,Wagon Hill Farm,16,3,1,15,14,
Deployment,Wagon Hill Farm,16,3,2,24,20,
Deployment,Wagon Hill Farm,16,3,3,20,15,
Deployment,Wagon Hill Farm,16,3,4,35,24,
Deployment,Wagon Hill Farm,16,3,5,30,21,
Deployment,Wagon Hill Farm,16,4,1,25,21,
Deployment,Wagon Hill Farm,16,4,2,20,15,
Deployment,Wagon Hill Farm,16,4,3,20,13,
Deployment,Wagon Hill Farm,16,4,4,15,14,
Deployment,Wagon Hill Farm,16,4,5,10,9,
Deployment,Wagon Hill Farm,16,4,6,20,18,
Deployment,Wagon Hill Farm,16,5,1,16,14,
Deployment,Wagon Hill Farm,16,5,2,20,14,
Deployment,Wagon Hill Farm,16,5,3,20,16,
Deployment,Wagon Hill Farm,16,5,4,20,21,
Deployment,Wagon Hill Farm,16,5,5,17,11,
Deployment,Wagon Hill Farm,16,5,6,18,8,
Deployment,Wagon Hill Farm,16,6,1,22,20,
Deployment,Wagon Hill Farm,16,6,2,25,12,
Deployment,Wagon Hill Farm,16,6,3,25,18,
Deployment,Wagon Hill Farm,16,6,4,10,11,
Deployment,Wagon Hill Farm,17,1,1,20,23,
Deployment,Wagon Hill Farm,17,1,2,29,16,
Deployment,Wagon Hill Farm,17,1,3,21,10,
Deployment,Wagon Hill Farm,17,1,4,27,16,
Deployment,Wagon Hill Farm,17,2,1,17,14,
Deployment,Wagon Hill Farm,17,2,2,17,10,
Deployment,Wagon Hill Farm,17,3,1,16,15,
Deployment,Wagon Hill Farm,17,3,2,20,17,
Deployment,Wagon Hill Farm,17,3,3,20,16,
Deployment,Wagon Hill Farm,17,3,4,27,26,
Deployment,Wagon Hill Farm,17,3,5,10,9,
Deployment,Wagon Hill Farm,17,4,1,26,25,
Deployment,Wagon Hill Farm,17,4,2,10,12,
Deployment,Wagon Hill Farm,17,5,1,21,20,
Deployment,Wagon Hill Farm,17,5,2,25,21,
Deployment,Wagon Hill Farm,17,5,3,20,19,
Deployment,Wagon Hill Farm,17,5,4,10,9,
Deployment,Wagon Hill Farm,17,5,5,20,19,
Deployment,Wagon Hill Farm,17,6,1,30,27,
Deployment,Wagon Hill Farm,17,6,2,21,20,
Deployment,Wagon Hill Farm,17,6,3,10,9,
Deployment,Wagon Hill Farm,18,1,1,29,20,
Deployment,Wagon Hill Farm,18,1,2,18,18,
Deployment,Wagon Hill Farm,18,1,3,20,16,
Deployment,Wagon Hill Farm,18,1,4,21,18,
Deployment,Wagon Hill Farm,18,1,5,20,14,
Deployment,Wagon Hill Farm,18,2,1,21,11,
Deployment,Wagon Hill Farm,18,2,2,9,8,
Deployment,Wagon Hill Farm,18,2,3,15,8,
Deployment,Wagon Hill Farm,18,3,1,21,19,
Deployment,Wagon Hill Farm,18,3,2,16,15,
Deployment,Wagon Hill Farm,18,3,3,20,15,
Deployment,Wagon Hill Farm,18,3,4,14,11,
Deployment,Wagon Hill Farm,18,4,1,21,18,
Deployment,Wagon Hill Farm,18,4,2,26,19,
Deployment,Wagon Hill Farm,18,4,3,17,6,
Deployment,Wagon Hill Farm,18,5,1,20,17,
Deployment,Wagon Hill Farm,18,5,2,15,10,
Deployment,Wagon Hill Farm,18,6,1,15,10,
Deployment,Wagon Hill Farm,19,1,1,26,15,
Deployment,Wagon Hill Farm,19,1,2,25,17,
Deployment,Wagon Hill Farm,19,1,3,18,16,
Deployment,Wagon Hill Farm,19,1,4,15,12,
Deployment,Wagon Hill Farm,19,2,1,22,17,
Deployment,Wagon Hill Farm,19,2,2,13,12,
Deployment,Wagon Hill Farm,19,2,3,14,10,
Deployment,Wagon Hill Farm,19,3,1,21,18,
Deployment,Wagon Hill Farm,19,3,2,15,14,
Deployment,Wagon Hill Farm,19,3,3,10,12,
Deployment,Wagon Hill Farm,19,3,4,9,8,
Deployment,Wagon Hill Farm,19,4,1,31,17,
Deployment,Wagon Hill Farm,19,4,2,20,16,
Deployment,Wagon Hill Farm,19,4,3,18,16,
Deployment,Wagon Hill Farm,19,4,4,19,19,
Deployment,Wagon Hill Farm,19,4,5,10,16,
Deployment,Wagon Hill Farm,19,4,6,17,14,
Deployment,Wagon Hill Farm,19,4,7,29,18,
Deployment,Wagon Hill Farm,19,4,8,15,12,
Deployment,Wagon Hill Farm,19,4,9,13,10,
Deployment,Wagon Hill Farm,19,4,10,29,19,
Deployment,Wagon Hill Farm,19,4,11,16,12,
Deployment,Wagon Hill Farm,19,4,12,20,17,
Deployment,Wagon Hill Farm,19,4,13,26,21,
Deployment,Wagon Hill Farm,19,5,1,24,21,
Deployment,Wagon Hill Farm,19,5,2,11,10,
Deployment,Wagon Hill Farm,19,5,3,23,22,
Deployment,Wagon Hill Farm,19,6,1,29,29,
Deployment,Wagon Hill Farm,19,6,2,20,10,
Deployment,Wagon Hill Farm,19,6,3,20,11,
Deployment,Wagon Hill Farm,19,6,4,24,21,
Deployment,Wagon Hill Farm,19,6,5,20,12,
Deployment,Wagon Hill Farm,20,1,1,21,14,
Deployment,Wagon Hill Farm,20,1,2,20,15,
Deployment,Wagon Hill Farm,20,1,3,27,18,
Deployment,Wagon Hill Farm,20,2,1,24,14,
Deployment,Wagon Hill Farm,20,2,2,15,12,
Deployment,Wagon Hill Farm,20,3,1,15,14,
Deployment,Wagon Hill Farm,20,3,2,14,10,
